id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1y_in_currency,price_change_percentage_200d_in_currency,price_change_percentage_30d_in_currency
compound-ether,ceth,cETH,https://assets.coingecko.com/coins/images/10643/large/ceth2.JPG?1581389598,42.92,2642783208,41,,7110808.0,43.93,41.54,-0.060211028465,-0.14009000000000002,-157629.64734697342,-0.005960000000000001,61535594.777019,61535594.777019,,87.15,-50.82759,2021-05-12T14:49:23.076Z,1.8900000000000001,2171.74835,2020-03-13T02:22:33.711Z,,2021-07-10T04:38:43.449Z,786.3258991493627,250.51519153013956,-18.13039716220062
ftx-token,ftt,FTX Token,https://assets.coingecko.com/coins/images/9026/large/F.png?1609051564,30.22,2617764912,42,10190066377.0,39221476.0,30.7,28.94,1.02,3.48793,77699194.0,3.05894,86727238.95617324,337599575.023401,337599575.023401,63.12,-52.26027,2021-05-12T03:59:29.290Z,1.15,2520.81583,2019-09-06T00:00:00.000Z,,2021-07-10T04:39:23.528Z,903.4179180278892,527.3283114327032,-10.350843629535886
bitcoin-cash-sv,bsv,Bitcoin SV,https://assets.coingecko.com/coins/images/6799/large/BSV.png?1558947902,138.78,2606807729,43,,426141877.0,140.87,135.4,0.959842,0.6964300000000001,2642430.0,0.10147,18782895.394239,21000000.0,,489.75,-71.75507,2021-04-16T17:09:04.630Z,42.02,229.22096,2018-11-23T00:00:00.000Z,,2021-07-10T04:39:57.930Z,-25.426161625841086,-19.090599729926613,-19.977400286487875
maker,mkr,Maker,https://assets.coingecko.com/coins/images/1364/large/Mark_Maker.png?1585191826,2702.82,2436624225,44,2718499410.0,105019361.0,2804.75,2599.83,49.59,1.86905,40780960.0,1.70215,901310.9472893132,991328.381954929,1005577.0,6292.31,-57.20525,2021-05-03T21:54:29.333Z,168.36,1499.44132,2020-03-16T20:52:36.527Z,,2021-07-10T04:39:58.466Z,496.26623024830127,413.7073878865048,-18.776308031659113
klay-token,klay,Klaytn,https://assets.coingecko.com/coins/images/9672/large/CjbT82vP_400x400.jpg?1570548320,0.9636600000000001,2432380220,45,,9142635.0,0.9956800000000001,0.9399139999999999,-0.000493426376,-0.05118,28363009.0,1.17982,2484199741.8,,,4.34,-77.47087,2021-03-30T03:44:28.828Z,0.06044000000000001,1517.34925,2020-04-29T08:19:34.574Z,,2021-07-10T04:36:22.131Z,574.7941899581557,75.91226453219222,-17.07002245755235
neo,neo,NEO,https://assets.coingecko.com/coins/images/480/large/NEO_512_512.png?1594357361,34.45,2428109694,46,,315098946.0,35.43,33.08,0.33457699999999996,0.9807400000000001,19852418.0,0.82435,70530000.0,100000000.0,,198.38,-82.68143,2018-01-15T00:00:00.000Z,0.078349,43750.7626,2016-10-21T00:00:00.000Z,"{'times': 955.9298959006869, 'currency': 'usd', 'percentage': 95592.9895900687}",2021-07-10T04:39:58.190Z,219.93790575215698,107.52198991775015,-32.729574275557695
compound-governance-token,comp,Compound,https://assets.coingecko.com/coins/images/10775/large/COMP.png?1592625425,440.52,2362037214,47,4392629953.0,293337756.0,446.58,389.8,33.27,8.16859,165306132.0,7.5251,5377273.387374678,10000000.0,10000000.0,910.54,-51.88576,2021-05-12T02:29:08.794Z,61.32,614.4275,2020-06-18T12:54:32.788Z,,2021-07-10T04:39:41.267Z,144.73327935796837,207.42308879091732,21.1592777542472
tezos,xtz,Tezos,https://assets.coingecko.com/coins/images/976/large/Tezos-logo.png?1547034862,2.77,2313686365,48,,58196346.0,2.8200000000000003,2.6,0.076193,2.83146,60365905.0,2.67898,837590966.860741,,,8.27,-66.69808,2021-05-07T02:09:26.683Z,0.350476,685.45214,2018-12-07T00:00:00.000Z,"{'times': 4.88754677285471, 'currency': 'usd', 'percentage': 488.7546772854711}",2021-07-10T04:39:35.304Z,9.43218503829251,26.406368264009927,-21.063789584699293
iota,miota,IOTA,https://assets.coingecko.com/coins/images/692/large/IOTA_Swirl.png?1604238557,0.806921,2244930250,49,,32264471.0,0.8400200000000001,0.7960069999999999,0.00145174,0.18024,2442102.0,0.10890000000000001,2779530283.277761,2779530283.0,,5.25,-84.65561,2017-12-19T00:00:00.000Z,0.081637,886.54929,2020-03-13T02:22:41.168Z,"{'times': 16.752249308167784, 'currency': 'btc', 'percentage': 1675.2249308167784}",2021-07-10T04:40:01.376Z,216.87039676809903,162.81928613468705,-30.788370623657695
avalanche-2,AVAX,Avalanche,https://assets.coingecko.com/coins/images/12559/large/coin-round-red.png?1604021818,12.4,2137052766,50,8924106114.0,68679248.0,12.83,11.88,0.089669,0.7286100000000001,15588254.0,0.73479,172418164.000451,377752194.4695483,720000000.0,59.4,-79.24503,2021-02-10T22:23:34.616Z,2.8,340.16026,2020-12-31T13:15:21.540Z,,2021-07-10T04:39:34.099Z,,298.2134964395961,-19.293459941866885
